Iteration	Posterior	Likelihood	Prior	sigma
0	-273.611	-211.096	-62.5147	13.2135
1000	-273.814	-214.718	-59.0955	22.0093
2000	-279.048	-214.188	-64.8602	18.772
3000	-276.53	-217.792	-58.7378	20.357
4000	-284.486	-216.232	-68.2543	16.4435
5000	-265.695	-209.331	-56.3642	25.3864
6000	-271.215	-210.972	-60.2432	19.8835
7000	-268.48	-207.016	-61.4643	18.2762
8000	-273.654	-214.325	-59.3288	19.5885
9000	-270.133	-207.132	-63.0017	16.9568
10000	-268.728	-205.576	-63.1518	15.0232
11000	-269.821	-212.091	-57.7301	20.304
12000	-274.552	-212.689	-61.8633	15.4338
13000	-268.92	-209.561	-59.359	17.0959
14000	-273.411	-208.767	-64.6436	14.3648
15000	-269.939	-206.374	-63.5652	16.7346
16000	-273.521	-214.302	-59.219	16.6937
17000	-269.308	-210.483	-58.8249	19.7369
18000	-268.669	-207.731	-60.9381	15.8794
19000	-271.99	-211.952	-60.038	16.7297
20000	-274.028	-216.419	-57.6086	23.416
21000	-269.852	-210.581	-59.2715	19.9568
22000	-268.294	-208.524	-59.7694	16.443
23000	-267.791	-206.459	-61.3327	14.6274
24000	-274.997	-211.208	-63.7887	14.7332
25000	-273.036	-207.348	-65.6886	15.9758
26000	-270.473	-208.976	-61.4976	15.7413
27000	-273.592	-211.799	-61.7922	19.6955
28000	-270.104	-212.7	-57.4036	20.1014
29000	-271.408	-212.179	-59.2296	18.2484
30000	-274.127	-209.334	-64.7932	16.1813
31000	-274.514	-211.178	-63.336	19.489
32000	-273.891	-212.112	-61.7793	17.0844
33000	-267.066	-206.557	-60.5092	19.1299
34000	-273.354	-209.139	-64.215	16.0346
35000	-274.054	-205.581	-68.4732	13.9216
36000	-273.123	-210.934	-62.1893	19.7469
37000	-282.663	-215.589	-67.0739	16.2497
38000	-266.679	-208.369	-58.3104	18.2295
39000	-268.93	-208.401	-60.5283	17.1716
40000	-272.805	-206.812	-65.9921	13.9687
41000	-278.014	-214.916	-63.0981	18.2127
42000	-269.17	-210.036	-59.1341	14.8931
43000	-278.697	-215.441	-63.256	16.8699
44000	-275.611	-210.68	-64.931	14.243
45000	-269.74	-211.888	-57.8521	18.9242
46000	-264.402	-204.883	-59.5198	17.2925
47000	-270.58	-210.382	-60.1979	16.4948
48000	-267.733	-208.366	-59.3665	19.2742
49000	-269.701	-214.933	-54.7674	22.8651
50000	-272.018	-210.379	-61.6396	19.195
51000	-277.623	-217.208	-60.4147	20.778
52000	-270.813	-212.237	-58.5763	18.1685
53000	-270.605	-204.682	-65.923	15.9189
54000	-275.174	-210.088	-65.0861	15.4232
55000	-273.191	-210.119	-63.0723	13.4436
56000	-276.362	-212.323	-64.0394	17.8278
57000	-279.229	-219.107	-60.1225	19.8544
58000	-270.476	-206.352	-64.1245	12.7804
59000	-271.703	-210.709	-60.9937	20.5688
60000	-268.98	-205.602	-63.3786	15.6004
61000	-269.268	-207.259	-62.0091	15.7916
62000	-267.313	-208.227	-59.0869	17.8967
63000	-276.279	-215.319	-60.9601	19.9592
64000	-273.595	-212.151	-61.4437	18.6572
65000	-276.97	-205.869	-71.1013	13.8987
66000	-269.334	-210.982	-58.3523	19.8015
67000	-265.487	-204.922	-60.5647	18.427
68000	-267.024	-207.877	-59.1476	18.4415
69000	-271.009	-212.432	-58.5763	24.1549
70000	-268.08	-212.011	-56.0689	23.6591
71000	-273.797	-215.218	-58.5786	19.1012
72000	-271.835	-215.313	-56.522	20.2899
73000	-275.337	-213.655	-61.6819	19.7572
74000	-271.12	-210.348	-60.7714	18.1668
75000	-269.669	-212.24	-57.4293	24.455
76000	-269.185	-205.492	-63.6938	15.4404
77000	-266.299	-208.437	-57.8615	20.0145
78000	-264.521	-205.842	-58.6783	17.7646
79000	-272.811	-211.289	-61.5222	16.4411
80000	-264.56	-206.001	-58.5593	19.3833
81000	-274.316	-213.286	-61.0299	19.147
82000	-269.384	-209.633	-59.7504	16.8613
83000	-269.07	-209.625	-59.4454	17.7086
84000	-266.483	-206.391	-60.0924	16.87
85000	-269.222	-212.286	-56.9367	21.1263
86000	-267.458	-209.941	-57.5167	20.669
87000	-275.637	-209.25	-66.3873	14.1781
88000	-268.379	-207.196	-61.1838	16.422
89000	-282.899	-212.173	-70.7261	11.3012
90000	-268.326	-212.989	-55.3379	27.0468
91000	-275.327	-210.661	-64.6658	17.4952
92000	-266.781	-209.436	-57.3449	22.0667
93000	-270.433	-209.256	-61.1764	18.4834
94000	-273.712	-211.665	-62.0472	16.7062
95000	-268.841	-210.874	-57.9668	18.1209
96000	-275.21	-211.784	-63.4256	13.7441
97000	-279.193	-215.419	-63.7743	17.3248
98000	-269.146	-209.041	-60.1046	17.4454
99000	-272.074	-206.904	-65.17	15.1696
100000	-277.747	-212.752	-64.9956	17.7213
101000	-275.342	-214.326	-61.0161	20.4547
102000	-276.241	-217.352	-58.8894	21.6924
103000	-267.667	-206.346	-61.3206	15.1728
104000	-273.108	-215.447	-57.6601	18.0358
105000	-273.012	-215.078	-57.9336	21.3364
106000	-263.805	-206.872	-56.933	18.6163
107000	-267.5	-204.135	-63.3655	16.6654
108000	-269.073	-205.1	-63.9731	15.5147
109000	-270.956	-211.336	-59.6196	18.9572
110000	-271.286	-208.889	-62.3963	14.5316
111000	-278.569	-222.704	-55.8647	35.0888
112000	-274.578	-216.787	-57.7909	23.3521
113000	-272.347	-210.646	-61.7016	19.4294
114000	-264.165	-209.292	-54.8731	24.5335
115000	-281.113	-212.351	-68.7625	13.9769
116000	-269.727	-207.788	-61.939	16.7614
117000	-265.246	-208.571	-56.6754	22.4697
118000	-276.408	-213.952	-62.4561	18.6748
119000	-267.006	-204.731	-62.2747	15.8196
120000	-263.824	-207.919	-55.905	23.0188
121000	-271.168	-212.486	-58.6817	18.818
122000	-273.37	-214.478	-58.8919	19.9228
123000	-273.26	-213.039	-60.2208	19.1124
124000	-269.466	-211.605	-57.8604	20.8454
125000	-272.848	-205.594	-67.2543	15.518
126000	-268.243	-212.532	-55.7114	22.9741
127000	-265.169	-205.901	-59.2687	19.9266
128000	-268.616	-212.277	-56.3388	21.5439
129000	-274.881	-209.045	-65.8363	13.5138
130000	-269.917	-214.698	-55.2193	28.5844
131000	-273.493	-215.678	-57.8156	25.7691
132000	-267.917	-209.841	-58.0764	20.1559
133000	-271.467	-211.328	-60.1396	18.8484
134000	-276.536	-209.821	-66.7148	13.7732
135000	-275.049	-213.383	-61.6665	16.3317
136000	-273.149	-207.393	-65.7563	13.5853
137000	-276.656	-215.459	-61.1965	20.9742
138000	-275.871	-207.182	-68.6895	12.9441
139000	-266.361	-205.61	-60.7503	15.963
140000	-272.198	-216.369	-55.8283	23.0193
141000	-267.765	-204.739	-63.0269	17.455
142000	-269.017	-205.562	-63.4549	17.6719
143000	-278.789	-213.587	-65.2014	18.9992
144000	-271.265	-213.292	-57.9731	17.85
145000	-280.367	-219.569	-60.7977	18.0655
146000	-273.116	-213.892	-59.224	28.3045
147000	-269.517	-215.382	-54.1358	30.9026
148000	-269.073	-208.995	-60.0788	15.9747
149000	-274.575	-210.386	-64.1891	15.0877
150000	-271.873	-209.254	-62.6192	15.4968
151000	-270.376	-210.03	-60.3458	17.8085
152000	-277.04	-207.892	-69.1474	14.5686
153000	-273.661	-209.303	-64.358	14.2224
154000	-271.373	-212.171	-59.2021	19.8415
155000	-283.328	-217.122	-66.2067	13.4728
156000	-277.104	-212.602	-64.5023	18.0317
157000	-271.824	-205.371	-66.4529	12.7669
158000	-271.361	-203.889	-67.4726	14.8115
159000	-272.665	-207.917	-64.7475	15.0678
160000	-270.43	-209.891	-60.5393	18.821
161000	-274.149	-215.934	-58.2155	19.6534
162000	-271.737	-208.217	-63.5208	14.9729
163000	-265.967	-207.807	-58.16	18.8387
164000	-270.672	-208.974	-61.6984	18.8566
165000	-272.123	-209.82	-62.3032	16.7454
166000	-275.932	-215.147	-60.7846	21.9864
167000	-270.577	-213.25	-57.3264	21.7398
168000	-279.126	-213.997	-65.129	15.215
169000	-274.635	-211.71	-62.9253	15.0456
170000	-275.874	-208.859	-67.0153	12.8811
171000	-278.336	-206.525	-71.811	13.9207
172000	-268.157	-209.467	-58.6897	19.4452
